Desa,Klasifikasi.Desa,Jumlah Penduduk,Puskesmas,Jarak,BTS,Ketinggian,Pasar,Jumlah Usaha,Topologi
Padende,B,1114,tidak ada,18,3,66,ada,55,dataran
Pakuli,C,2250,tidak ada,32,1,131,tidak ada,226,dataran
Pakuli Utara,C,1844,tidak ada,32,0,132,ada,98,dataran
Palamaki,B,426,tidak ada,96,0,462,tidak ada,8,pegunungan
Pandere,C,2470,ada,32,1,104,ada,87,dataran
Panesibaja,A,555,tidak ada,33,0,950,tidak ada,7,pegunungan
Peana,B,625,tidak ada,123,0,931,tidak ada,5,pegunungan
Pelempea,B,310,tidak ada,123,0,803,tidak ada,4,pegunungan
Pesaku,B,1447,tidak ada,7,0,72,tidak ada,38,dataran
Petimbe,A,1062,tidak ada,25,1,587,tidak ada,29,dataran
Pewunu,B,1316,tidak ada,7,0,49,ada,28,dataran
Pili Makujawa,B,522,tidak ada,96,0,425,tidak ada,8,pegunungan
Pobolobia,A,270,tidak ada,20,0,1146,tidak ada,6,pegunungan
Poi ,B,810,tidak ada,13,0,10,tidak ada,18,pegunungan
Polero Makuhi,B,655,tidak ada,62,0,643,tidak ada,2,pegunungan
Pombewe,C,2367,tidak ada,14,1,78,tidak ada,52,dataran
Porame ,A,1619,ada,20,1,201,tidak ada,38,perbukitan
Porelea,B,562,tidak ada,123,0,857,tidak ada,1,pegunungan
Porelea II,B,465,tidak ada,123,0,966,tidak ada,0,pegunungan
Potoya,B,1499,tidak ada,7,0,47,tidak ada,49,dataran
Puloroa,B,513,tidak ada,123,0,1025,tidak ada,3,pegunungan
Pulu,B,1194,tidak ada,13,0,95,tidak ada,20,pegunungan
Puro'o,C,831,tidak ada,89,0,1004,tidak ada,26,pegunungan
Rahmat,C,1544,tidak ada,25,1,584,ada,13,dataran
Ramba,B,1102,tidak ada,13,0,10,tidak ada,21,dataran
Rantelada,A,883,tidak ada,25,1,573,tidak ada,15,dataran
Rantewulu,B,690,tidak ada,62,0,503,tidak ada,4,pegunungan
Rarampadende,B,1742,tidak ada,7,1,65,tidak ada,34,dataran
Rejeki,C,1539,tidak ada,25,1,646,tidak ada,33,dataran
Rogo,C,1555,tidak ada,13,0,95,ada,54,dataran
Rondingo,A,552,tidak ada,20,0,1316,tidak ada,6,pegunungan
Salua,B,1427,tidak ada,62,1,264,tidak ada,5,pegunungan
Salutome,B,640,tidak ada,96,0,447,tidak ada,13,perbukitan
Sambo,C,1080,tidak ada,13,1,86,tidak ada,22,pegunungan
Sarumana,A,724,tidak ada,25,1,587,tidak ada,2,dataran
Sejahtera,C,987,tidak ada,25,1,589,tidak ada,39,dataran
Sibalaya Barat,C,1506,tidak ada,17,0,76,tidak ada,16,dataran
